name,phone,district,state,phone_cleaned
St. Stephen's College,011-27667271,Delhi,Delhi,1127667271
Lady Shri Ram College for Women,7827170170,Delhi,Delhi,7827170170
Kirori Mal College,011-27667861,Delhi,Delhi,1127667861
Hindu College,011-27667184,Delhi,Delhi,1127667184
Hansraj College,1127667747,Delhi,Delhi,1127667747
Ramjas College,011-27662157,Delhi,Delhi,1127662157
Indraprastha College for Women,011-47008184,Delhi,Delhi,1147008184
Gargi College,011-26497697,Delhi,Delhi,1126497697
Jesus and Mary College,011-26104765,Delhi,Delhi,1126104765
Dyal Singh College,011-24367819,Delhi,Delhi,1124367819
Daulat Ram College,9821382457,Delhi,Delhi,9821382457
Sri Venkateswara College,011-24115302,Delhi,Delhi,1124115302
Atma Ram Sanatan Dharma College,011-24607600,Delhi,Delhi,1124607600
Motilal Nehru College,011-26115244,Delhi,Delhi,1126115244
Shyam Lal College,011-22326591,Delhi,Delhi,1122326591
Janki Devi Memorial College,011-25452272,Delhi,Delhi,1125452272
Maitreyi College,011-26114555,Delhi,Delhi,1126114555
Maharaja Agrasen College,011-22610563,Delhi,Delhi,1122610563
Acharya Narendra Dev College,9839167801,Delhi,Delhi,9839167801
Shaheed Bhagat Singh College,011-24604001,Delhi,Delhi,1124604001
Keshav Mahavidyalaya,011-27663924,Delhi,Delhi,1127663924
Sri Aurobindo College,1140536164,Delhi,Delhi,1140536164
Bhim Rao Ambedkar College,011-22385823,Delhi,Delhi,1122385823
Kalindi College,011-26493388,Delhi,Delhi,1126493388
Lakshmibai College,011-25093441,Delhi,Delhi,1125093441
Delhi College of Arts and Commerce,011-27158007,Delhi,Delhi,1127158007
Jamia Millia Islamia,011-26981717,Delhi,Delhi,1126981717
Jawaharlal Nehru University,011-26742676,Delhi,Delhi,1126742676
Delhi Technological University,011-27871018,Delhi,Delhi,1127871018
Indraprastha Institute of IT,1126907405,Delhi,Delhi,1126907405
Amity University Delhi,0120-4392000,Delhi,Delhi,1204392000
Guru Gobind Singh Indraprastha Uni,011-25302140,Delhi,Delhi,1125302140
Lady Irwin College,20911123711222,Delhi,Delhi,20911123711222
College of Vocational Studies,011-26160531,Delhi,Delhi,1126160531
Zakir Husain Delhi College,011-23239212,Delhi,Delhi,1123239212
Satyawati College,8368897504,Delhi,Delhi,8368897504
Vivekananda College,011-27583226,Delhi,Delhi,1127583226
Shivaji College Delhi,011-25101010,Delhi,Delhi,1125101010
Loyola College,044-28178200,Chennai,Tamil Nadu,4428178200
Presidency College,044-28512454,Chennai,Tamil Nadu,4428512454
Stella Maris College,044-28275567,Chennai,Tamil Nadu,4428275567
PSG College of Arts and Science,0422-4391100,Coimbatore,Tamil Nadu,4224391100
Govt. Arts College,0422-2303890,Coimbatore,Tamil Nadu,4222303890
Madras Christian College,9444403976,Chennai,Tamil Nadu,9444403976
Annamalai University Constituent Coll,0414-4238259,Cuddalore,Tamil Nadu,4144238259
Sri Ramakrishna College of Arts,0422-2680620,Coimbatore,Tamil Nadu,4222680620
Womens Christian College,044-28274694,Chennai,Tamil Nadu,4428274694
IIT Madras,044-22578000,Chennai,Tamil Nadu,4422578000
Anna University,044-22357004,Chennai,Tamil Nadu,4422357004
University of Madras,044-25399422,Chennai,Tamil Nadu,4425399422
Pachaiyappa's College,044-26219500,Chennai,Tamil Nadu,4426219500
Government Arts College Chennai,044-25363552,Chennai,Tamil Nadu,4425363552
Queen Mary's College,044-28362936,Chennai,Tamil Nadu,4428362936
Lady Doak College,0452-2530527,Madurai,Tamil Nadu,4522530527
American College Madurai,0452-2530070,Madurai,Tamil Nadu,4522530070
Madurai Kamaraj University College,0452-2458462,Madurai,Tamil Nadu,4522458462
Thiagarajar College,0452-2312136,Madurai,Tamil Nadu,4522312136
Sri Krishna College of Engineering,0422-2678001,Coimbatore,Tamil Nadu,4222678001
Kumaraguru College of Technology,0422-2661100,Coimbatore,Tamil Nadu,4222661100
Kongu Engineering College,04294-226000,Erode,Tamil Nadu,4294226000
Salem College,0427-2230032,Salem,Tamil Nadu,4272230032
Periyar University College,0427-2345600,Salem,Tamil Nadu,4272345600
Bishop Heber College,0431-2200001,Tiruchirappalli,Tamil Nadu,4312200001
National College Tiruchirappalli,0431-2461105,Tiruchirappalli,Tamil Nadu,4312461105
Bharathidasan University College,0431-2407070,Tiruchirappalli,Tamil Nadu,4312407070
Jamal Mohamed College,0431-2340135,Tiruchirappalli,Tamil Nadu,4312340135
Holy Cross College,0431-2769090,Tiruchirappalli,Tamil Nadu,4312769090
Sathyabama Institute of Science,9940058263,Chennai,Tamil Nadu,9940058263
Sri Sairam Engineering College,4422512111,Chennai,Tamil Nadu,4422512111
Vel Tech University,18002127669,Chennai,Tamil Nadu,18002127669
SSN College of Engineering,044-27469700,Chennai,Tamil Nadu,4427469700
Ethiraj College for Women,044-28283919,Chennai,Tamil Nadu,4428283919
Dr. Ambedkar Govt. Arts College,044-25361731,Chennai,Tamil Nadu,4425361731
Govt. Arts College Nandanam,044-24330200,Chennai,Tamil Nadu,4424330200
Rajalakshmi Engineering College,044-37181000,Chennai,Tamil Nadu,4437181000
Govt. Arts College Coimbatore,0422-2303890,Coimbatore,Tamil Nadu,4222303890

