name,state,district,type,board,student_count,company_size_category,website,principal_name,email,phone,icp_score,icp_tier
Sir Parashurambhau College,Maharashtra,Pune,Aided,,3400,Large,spcollege.ac.in,,addressprincipal@spcollegepune.ac.in,2972296296,65,Tier2
Govt. College Of Engineering Pune,Maharashtra,Pune,Govt,,4800,Large,gcoep.ac.in,,aaglave.saarika@gppune.ac.in,2025507167,65,Tier2
Visvesvaraya Nit Nagpur,Maharashtra,Nagpur,Govt,,5400,Large,vnit.ac.in,,deanacd@vnit.ac.in,7122223230,65,Tier2
Govt. Medical College Nagpur,Maharashtra,Nagpur,Govt,,1800,Large,gmcnagpur.com,,,7122701133,50,Tier2
Hislop College,Maharashtra,Nagpur,Aided,,3200,Large,hislopcollege.ac.in,,info@hislopcollege.ac.in,8275490446,65,Tier2
Dr. Ambedkar College Nagpur,Maharashtra,Nagpur,Aided,,2400,Large,drambedkarcollege.ac.in,,academicsection@dbatu.ac.in,7122726271,65,Tier2
Walchand College Of Engineering,Maharashtra,Sangli,Aided,,3600,Large,walchandsangli.ac.in,,,2332247243,50,Tier2
Shivaji University College,Maharashtra,Kolhapur,Govt,,2800,Large,unishivaji.ac.in,,accountssection@shivaji.du.ac.in,2312609000,65,Tier2
Dy Patil College Of Engineering,Maharashtra,Pune,Private,,3900,Large,dypvp.edu.in,,_jobs@dypcoeakurdi.ac.in,2067106000,90,Tier1
Symbiosis Institute Of Technology,Maharashtra,Pune,Private,,2600,Large,sit.edu.in,,director@sitpune.edu.in,2028116200,90,Tier1
Flame University,Maharashtra,Pune,Private,,1800,Large,flame.edu.in,,enquiry@flame.edu.in,18002094567,90,Tier1
Mit College Of Engineering Pune,Maharashtra,Pune,Private,,4200,Large,mitcoe.edu.in,,admissions@mitwpu.edu.in,2030273400,90,Tier1
Bharati Vidyapeeth College Of Engg,Maharashtra,Mumbai,Private,,3100,Large,bvcoem.edu.in,,principal@bvcoenm.edu.in,2225139610,90,Tier1
Somaiya Vidyavihar University,Maharashtra,Mumbai,Private,,4600,Large,somaiya.edu,,,2226728301,75,Tier1
Nmims University Mumbai,Maharashtra,Mumbai,Private,,5200,Large,nmims.edu,Ess Svkm Essional Organizations,,8040855555,85,Tier1
Kishinchand Chellaram College,Maharashtra,Mumbai,Aided,,3800,Large,kccollege.edu.in,,info@kclawhsnc.edu.in,9156094565,65,Tier2
Nowrosjee Wadia College,Maharashtra,Pune,Aided,,2200,Large,wadiacollege.edu.in,,mayurgohad@nowrosjeewadiacollege.edu.in,2026143928,65,Tier2
Dharampeth College Nagpur,Maharashtra,Nagpur,Govt,,2100,Large,,,admin@rsmdacc.edu.in,7122557300,55,Tier2
Vidyanagari Arts Commerce College,Maharashtra,Mumbai,Govt,,2400,Large,mu.ac.in,,,222708700,50,Tier2
Christ University,Karnataka,Bengaluru,Private,,6000,Large,christuniversity.in,,registrar@christuniversity.in,8040129100,90,Tier1
Bangalore University College,Karnataka,Bengaluru,Govt,,3800,Large,bangaloreuniversity.ac.in,,registrar@bub.ernet.in,8022961100,65,Tier2
Mount Carmel College,Karnataka,Bengaluru,Aided,,3200,Large,mountcarmelcollegeblr.ac.in,,admission@mccblr.edu.in,8022261157,65,Tier2
St. Joseph'S College Of Commerce,Karnataka,Bengaluru,Aided,,2700,Large,sjcc.edu.in,,libinfo@sjcc.edu.in,8022212010,65,Tier2
Rv College Of Engineering,Karnataka,Bengaluru,Private,,5500,Large,rvce.edu.in,,principal@rvce.edu.in,8067178001,90,Tier1
Mysore University Constituent College,Karnataka,Mysuru,Govt,,4100,Large,uni-mysore.ac.in,,registrar@uni-mysore.ac.in,8212419901,65,Tier2
Manipal College Of Arts,Karnataka,Udupi,Private,,2500,Large,manipal.edu,,admissions@manipal.edu,8202922073,90,Tier1
Govt. First Grade College Gulbarga,Karnataka,Kalaburagi,Govt,,1900,Large,,,ksoustudycentre@spcputtur.ac.in,8472263234,55,Tier2
Bms College Of Engineering,Karnataka,Bengaluru,Aided,,4700,Large,bmsce.ac.in,,principal@bmsce.ac.in,8026622130,65,Tier2
Govt. Science College Bengaluru,Karnataka,Bengaluru,Govt,,2300,Large,,,principal@lcechennai.edu.in,8022281723,55,Tier2
Jyoti Nivas College,Karnataka,Bengaluru,Aided,,2800,Large,jyotinivascollege.edu.in,,,8025501444,50,Tier2
Indian Institute Of Science,Karnataka,Bengaluru,Govt,,3800,Large,iisc.ac.in,,ascdean.ugacad@iisc.ac.in,8022932004,65,Tier2
National Law School Of India,Karnataka,Bengaluru,Govt,,800,Medium,nls.ac.in,,admissions.ba@nls.ac.in,8023010000,65,Tier2
St. Joseph'S College Bengaluru,Karnataka,Bengaluru,Aided,,3200,Large,sjcollege.ac.in,,christoselvan@sjc.ac.in,8025506424,65,Tier2
Bishop Cotton Women'S College,Karnataka,Bengaluru,Aided,,2100,Large,bishopcottonwomenscollege.com,,admissions@bcwclc.edu.in,8025201908,65,Tier2
Pes University,Karnataka,Bengaluru,Private,Deemed university,5600,Large,pes.edu,,admissions@pes.ac.in,8010297297,90,Tier1
Ramaiah Institute Of Technology,Karnataka,Bengaluru,Private Aided,Autonomous,4800,Large,msrit.edu,,principal@msrit.edu,8023607902,90,Tier1
Dayananda Sagar College,Karnataka,Bengaluru,Private,Autonomous,4200,Large,dsce.edu.in,,ppl-dsce@dayanandasagar.edu,8042161704,90,Tier1
New Horizon College Of Engineering,Karnataka,Bengaluru,Private,Autonoumous,3600,Large,newhorizonindia.edu,,admissionsnhce@newhorizonindia.edu,9880534935,90,Tier1
Reva University,Karnataka,Bengaluru,Private,Deemed University,4100,Large,reva.edu.in,,admissions@reva.edu.in,8046966966,90,Tier1
Alliance University,Karnataka,Bengaluru,Private,,3800,Large,alliance.edu.in,,admissions@alliance.edu.in,8046199000,90,Tier1
Govt. Science College Hassan,Karnataka,Hassan,Govt,,1600,Large,gsch.in,,gschassan@gmail.com,8172268248,65,Tier2
Visvesvaraya Technological Univ,Karnataka,Belagavi,Govt,,4200,Large,vtu.ac.in,,register@vtu.ac.in,8312498100,65,Tier2
Kle Technological University,Karnataka,Belagavi,Private,,3600,Large,kletech.ac.in,N.H. Ayachit,prochancellor@kletech.ac.in,8362378101,100,Tier1
Sdm College Of Engineering,Karnataka,Dharwad,Aided,,2800,Large,sdmcet.ac.in,,principal@sdmcet.ac.in,8362255619,65,Tier2
Jss College Of Arts,Karnataka,Mysuru,Aided,,2600,Large,jsscollegemysore.ac.in,M.P. Vijyaendra Swamy,jssautonomous@gmail.com,8212548236,75,Tier1
Maharaja College Mysore,Karnataka,Mysuru,Govt,,2900,Large,maharajacollegemysore.ac.in,B. Nagarajamurthy,principalmaharaja@gmail.com,821249292,75,Tier1
Yuvaraja College Mysore,Karnataka,Mysuru,Govt,,2400,Large,ycm.uni-mysore.ac.in,B.N. Yashodha,principal@ycm.uni-mysore.ac.in,8212548337,75,Tier1
Mangalore University College,Karnataka,Mangaluru,Govt,,3200,Large,mangaloreuniversity.ac.in,Anasuya Rai,ucmangalore1@gmail.com,9481608909,75,Tier1
St. Aloysius College Mangalore,Karnataka,Mangaluru,Aided,,3600,Large,staloysius.edu.in,Praveen Martis SJ,Principal@staloysius.edu.in,8244117704,75,Tier1
Canara College,Karnataka,Mangaluru,Aided,,2800,Large,canaracollege.ac.in,Premalatha V,info@canara.ac.in,8242496600,75,Tier1
Govt. First Grade College Tumkur,Karnataka,Tumakuru,Govt,,1800,Large,gfgc.karnataka.gov.in,T.S. Shashikumar,gfgctumkur@gmail.com,8162272004,75,Tier1
Siddaganga Institute Of Technology,Karnataka,Tumakuru,Private,,3400,Large,sit.ac.in,S.V. Dinesh,principal@sit.ac.in,8162282696,100,Tier1
Nmkrv College For Women,Karnataka,Bengaluru,Aided,,2600,Large,nmkrv.ac.in,Suchithra R. Nair,principal.nmkrvpu@rvei.edu.in,8026637042,75,Tier1
Seshadripuram College,Karnataka,Bengaluru,Aided,,3100,Large,spmcollege.ac.in,Anandappa Iranmukhadavar,info@spmcollege.ac.in,8022955354,75,Tier1
Cmr Institute Of Technology,Karnataka,Bengaluru,Private,,3200,Large,cmrit.ac.in,Sanjay Jain,principal@cmrit.ac.in,8028524466,100,Tier1
Global Academy Of Technology,Karnataka,Bengaluru,Private,,2800,Large,gat.ac.in,Balakrishna H.B.,info@gat.ac.in,8028603158,100,Tier1
Nitte University College,Karnataka,Mangaluru,Private,,2200,Large,nitte.edu.in,Niranjan N. Chiplunkar,principal_nmamit@nitte.edu.in,8242204300,100,Tier1
East West College Of Engineering,Karnataka,Bengaluru,Private,,2400,Large,ewce.edu.in,Santhosh Kumar G.,principal@ewce.edu.in,8028566115,100,Tier1
Christ Academy Institute,Karnataka,Bengaluru,Aided,,1900,Large,caias.in,Davis Panadan,office@caias.in,8035215155,75,Tier1
Miranda House,Delhi,Delhi,Govt,,2900,Large,mirandahouse.ac.in,Bijayalaxmi Nanda,principal@mirandahouse.ac.in,1127667437,75,Tier1
St. Stephen'S College,Delhi,Delhi,Aided,,1600,Large,ststephens.edu,Jhon Varghese,principal@ststephens.edu,1127667200,75,Tier1
Lady Shri Ram College For Women,Delhi,Delhi,Govt,,3100,Large,lsr.edu.in,Suman Sharma,lsrc@lsr.edu.in,1126434459,75,Tier1
Kirori Mal College,Delhi,Delhi,Govt,,4200,Large,kmc.du.ac.in,Dinesh Khattar,principal@kmc.du.ac.in,1127667939,75,Tier1
Hindu College,Delhi,Delhi,Govt,,2600,Large,hinducollege.ac.in,Anju Srivatava,principal@hinducollege.org,1127667184,75,Tier1
Hansraj College,Delhi,Delhi,Govt,,3000,Large,hansrajcollege.ac.in,Rama,,1127667458,60,Tier2
Ramjas College,Delhi,Delhi,Govt,,3500,Large,ramjascollege.edu.in,Manoj Kumar Khanna,principal@ramjas.du.ac.in,1127667706,75,Tier1
Indraprastha College For Women,Delhi,Delhi,Govt,,2100,Large,ipcollege.ac.in,Poonam Kumria,ipcw@ip.du.ac.in,1123954085,75,Tier1
Gargi College,Delhi,Delhi,Govt,,2800,Large,gargicollege.in,Vandna Luthra,gargicollege@gargi.du.ac.in,1126497697,75,Tier1
Jesus And Mary College,Delhi,Delhi,Aided,,1400,Medium,jesusandmarycollege.ac.in,Molly K.A.,principal@jmc.du.ac.in,1126110041,75,Tier1
Dyal Singh College,Delhi,Delhi,Govt,,3200,Large,dsc.du.ac.in,V.K. Paliwal,principal@dsc.du.ac.in,1124367819,75,Tier1
Daulat Ram College,Delhi,Delhi,Govt,,2800,Large,dr.du.ac.in,Savitha Roy,darshan@dr.du.ac.in,9821382457,75,Tier1
Sri Venkateswara College,Delhi,Delhi,Govt,,3600,Large,svc.ac.in,Chandramani Singh,principal@svc.ac.in,1124112390,75,Tier1
Atma Ram Sanatan Dharma College,Delhi,Delhi,Govt,,4100,Large,arsdcollege.ac.in,Gyantosh Kumar Jha,principal.arsdcollege@gmail.com,1124113436,75,Tier1
Motilal Nehru College,Delhi,Delhi,Govt,,3400,Large,mlncdu.ac.in,Yogeshwar Sharma,motilalnehru64@gmail.com,1126112604,75,Tier1
Shyam Lal College,Delhi,Delhi,Govt,,3100,Large,slc.du.ac.in,Rabi Naryan Kar,slcm@shyamlal.du.ac.in,1135016514,75,Tier1
Janki Devi Memorial College,Delhi,Delhi,Govt,,2600,Large,jdm.ac.in,Swati Pal,principal@jdm.du.ac.in,1149876630,75,Tier1
Maitreyi College,Delhi,Delhi,Govt,,2400,Large,maitreyi.ac.in,Haritma Chopra,maitreyi1967@yahoo.co.in,9311331434,75,Tier1
Maharaja Agrasen College,Delhi,Delhi,Govt,,3800,Large,mac.du.ac.in,Sanjeev Kumar Tiwari,principal@mac.du.ac.in,1122610563,75,Tier1
Acharya Narendra Dev College,Delhi,Delhi,Govt,,2900,Large,andcollege.ac.in,Amit Garg,principal@andc.du.ac.in,9839167801,75,Tier1
Shaheed Bhagat Singh College,Delhi,Delhi,Govt,,3200,Large,sbsc.ac.in,Arun Kumar Attree,principal@sbs.du.ac.in,1126250306,75,Tier1
Keshav Mahavidyalaya,Delhi,Delhi,Govt,,2100,Large,keshav.du.ac.in,Madhu Pruthi,principal@keshav.du.ac.in,1127018805,75,Tier1
Sri Aurobindo College,Delhi,Delhi,Govt,,2800,Large,aurobindo.du.ac.in,Arun Choudhary,principal@aurobindo.du.ac.in,1140536164,75,Tier1
Bhim Rao Ambedkar College,Delhi,Delhi,Govt,,3100,Large,brac.ac.in,,info@drbramdedkarcollege.ac.in,1122814126,65,Tier2
