name,state,district,type,student_count,website,phone
Acharya Narendra Dev College,Delhi,Delhi,Govt,2900,https://www.andc.ac.in,1122553950.0
Shaheed Bhagat Singh College,Delhi,Delhi,Govt,3200,https://www.sbsc.ac.in,8460405970.0
Keshav Mahavidyalaya,Delhi,Delhi,Govt,2100,https://www.keshav.du.ac.in,1127662609.0
Sri Aurobindo College,Delhi,Delhi,Govt,2800,https://www.aurobindo.du.ac.in,1126521408.0
Bhim Rao Ambedkar College,Delhi,Delhi,Govt,3100,https://www.brac.ac.in,1122385950.0
Kalindi College,Delhi,Delhi,Govt,2900,https://www.kalindi.du.ac.in,1126848601.0
Lakshmibai College,Delhi,Delhi,Govt,2400,https://www.lakshmibai.ac.in,1125093001.0
Delhi College of Arts and Commerce,Delhi,Delhi,Govt,3400,https://www.dcac.du.ac.in,7947158024.0
Jamia Millia Islamia,Delhi,Delhi,Govt,8600,https://www.jmi.ac.in,1126985507.0
Jawaharlal Nehru University,Delhi,Delhi,Govt,6200,https://www.jnu.ac.in,1126742676.0
Delhi Technological University,Delhi,Delhi,Govt,5800,https://www.dtu.ac.in,1127871018.0
Indraprastha Institute of IT,Delhi,Delhi,Govt,3200,https://www.iiitd.ac.in,7411787155.0
Amity University Delhi,Delhi,Delhi,Private,9400,https://www.amity.edu,1204392000.0
Guru Gobind Singh Indraprastha Uni,Delhi,Delhi,Govt,7200,https://www.ipu.ac.in,1125302173.0
Lady Irwin College,Delhi,Delhi,Govt,1800,https://www.ladyirwin.edu.in,1123388021.0
College of Vocational Studies,Delhi,Delhi,Govt,2600,https://www.cvs.du.ac.in,1126161200.0
Zakir Husain Delhi College,Delhi,Delhi,Govt,3100,https://www.zhdc.ac.in,1123239021.0
Satyawati College,Delhi,Delhi,Govt,2800,https://www.satyawati.du.ac.in,1127284067.0
Vivekananda College,Delhi,Delhi,Govt,2600,https://www.vivekananddcollege.ac.in,9054442408.0
Shivaji College Delhi,Delhi,Delhi,Govt,2900,https://www.shivaji.du.ac.in,1125101218.0
Loyola College,Tamil Nadu,Chennai,Aided,5200,https://www.loyolacollege.edu,4428175742.0
Presidency College,Tamil Nadu,Chennai,Govt,3100,https://www.presidencychennai.ac.in,8128587791.0
Stella Maris College,Tamil Nadu,Chennai,Aided,3600,https://www.stellamariscollege.edu.in,4428251948.0
PSG College of Arts and Science,Tamil Nadu,Coimbatore,Aided,4800,https://www.psgcas.ac.in,4222572177.0
Govt. Arts College,Tamil Nadu,Coimbatore,Govt,2400,,8888888888.0
Madras Christian College,Tamil Nadu,Chennai,Aided,5900,https://www.mcc.edu.in,9606241461.0
Vellore Institute of Technology,Tamil Nadu,Vellore,Private,20000,https://www.vit.ac.in,4162202020.0
Annamalai University Constituent Coll,Tamil Nadu,Cuddalore,Govt,6200,https://www.annamalaiuniversity.ac.in,4144238343.0
Sri Ramakrishna College of Arts,Tamil Nadu,Coimbatore,Private,2900,https://www.srcas.ac.in,4222543881.0
Womens Christian College,Tamil Nadu,Chennai,Aided,2700,https://www.wcc.edu.in,9606241461.0
IIT Madras,Tamil Nadu,Chennai,Govt,8200,https://www.iitm.ac.in,4422578000.0
Anna University,Tamil Nadu,Chennai,Govt,6800,https://www.annauniv.edu,4422357004.0
University of Madras,Tamil Nadu,Chennai,Govt,4200,https://www.unom.ac.in,4425399422.0
Pachaiyappa's College,Tamil Nadu,Chennai,Aided,4600,https://www.pachaiyappascollege.org,4426210082.0
Government Arts College Chennai,Tamil Nadu,Chennai,Govt,3200,https://www.gac.ac.in,4425362064.0
Queen Mary's College,Tamil Nadu,Chennai,Govt,2800,https://www.qmc.ac.in,4428362010.0
Lady Doak College,Tamil Nadu,Madurai,Aided,3100,https://www.ladydoakcollege.edu.in,4522530031.0
American College Madurai,Tamil Nadu,Madurai,Aided,4200,https://www.americancollege.edu.in,7383444879.0
Madurai Kamaraj University College,Tamil Nadu,Madurai,Govt,3600,https://www.mkuniversity.ac.in,4522458471.0
Thiagarajar College,Tamil Nadu,Madurai,Aided,3400,https://www.tcarts.ac.in,4522312375.0
Sri Krishna College of Engineering,Tamil Nadu,Coimbatore,Private,3800,https://www.skcet.ac.in,4222615510.0
Kumaraguru College of Technology,Tamil Nadu,Coimbatore,Private,4100,https://www.kct.ac.in,4222669401.0
Kongu Engineering College,Tamil Nadu,Erode,Aided,3600,https://www.kongu.edu,4294226585.0
Salem College,Tamil Nadu,Salem,Govt,2400,https://www.salemcollege.ac.in,4272232501.0
Periyar University College,Tamil Nadu,Salem,Govt,2100,https://www.periyaruniversity.ac.in,4272345766.0
Bishop Heber College,Tamil Nadu,Tiruchirappalli,Aided,3200,https://www.bishophebercollegetry.ac.in,4312200500.0
National College Tiruchirappalli,Tamil Nadu,Tiruchirappalli,Aided,2800,https://www.nationalcollegetrichy.ac.in,4312460966.0
Bharathidasan University College,Tamil Nadu,Tiruchirappalli,Govt,2600,https://www.bdu.ac.in,4312407071.0
Jamal Mohamed College,Tamil Nadu,Tiruchirappalli,Aided,3100,https://www.jmc.edu.in,8511408530.0
Holy Cross College,Tamil Nadu,Tiruchirappalli,Aided,2900,https://www.holycrosstry.edu.in,8123769187.0
Sathyabama Institute of Science,Tamil Nadu,Chennai,Private,6800,https://www.sathyabama.ac.in,7383413520.0
Saveetha Engineering College,Tamil Nadu,Chennai,Private,4200,https://www.saveetha.ac.in,4426680025.0
Sri Sairam Engineering College,Tamil Nadu,Chennai,Private,3800,https://www.sairam.edu.in,4422251000.0
Vel Tech University,Tamil Nadu,Chennai,Private,3200,https://www.veltech.edu.in,4426840404.0
SSN College of Engineering,Tamil Nadu,Chennai,Private,4400,https://www.ssn.edu.in,4427469700.0
Ethiraj College for Women,Tamil Nadu,Chennai,Aided,2800,https://www.ethirajcollege.edu.in,4428272835.0
Dr. Ambedkar Govt. Arts College,Tamil Nadu,Chennai,Govt,2400,https://www.ambedkararts.ac.in,8888888888.0
Govt. Arts College Nandanam,Tamil Nadu,Chennai,Govt,2200,,8888888888.0
Rajalakshmi Engineering College,Tamil Nadu,Chennai,Private,3600,https://www.rajalakshmi.org,4437181001.0
Govt. Arts College Coimbatore,Tamil Nadu,Coimbatore,Govt,2600,,8888888888.0
