name,principal_name,email,website
Mysore University Constituent College,,,https://uni-mysore.ac.in
Manipal College of Arts,Vinod V. Thomas Registrar Evaluation,,https://www.manipal.edu
Govt. First Grade College Gulbarga,,,
BMS College of Engineering,Advertisement Teaching Application General,parthank.civ@bmsce.ac.in,https://www.bmsce.ac.in
Govt. Science College Bengaluru,,,
Jyoti Nivas College,,,https://www.jyotinivascollege.edu.in
Indian Institute of Science,Divisions Registrar Financial Controller,,https://www.iisc.ac.in
National Law School of India,Message Governing Bodies People,,https://www.nls.ac.in
St. Joseph's College Bengaluru,,,https://www.sjcollege.ac.in
Bishop Cotton Women's College,,,https://www.bishopcottonwomenscollege.com
PES University,Applied Machine Learning,pessat@pes.edu,https://www.pes.edu
Ramaiah Institute of Technology,Foreign National,grievances@msrit.edu,https://www.msrit.edu
Dayananda Sagar College,Dayananda Sagar Business School,,https://www.dayanandasagar.edu
New Horizon College of Engineering,Message Accolades Social Outreach,assistant@newhorizonindia.edu,https://www.newhorizonindia.edu
REVA University,Chancellor Vice Chancellor Registrar,admissions@reva.edu.in,https://www.reva.edu.in
Alliance University,Mr. Prakash S. Budur Pro Vice,,https://www.alliance.edu.in
Govt. Science College Hassan,,,
Visvesvaraya Technological Univ,,,https://www.vtu.ac.in
KLE Technological University,Message Pro Chancellor,,https://www.kletech.ac.in
SDM College of Engineering,Dr. Harshendra Kumar Secretary Dr,,https://www.sdmcet.ac.in
BVB College of Engineering,,,https://www.bvbcet.ac.in
JSS College of Arts,,,https://www.jsscollegemysore.ac.in
Maharaja College Mysore,,,https://www.maharajacollegemysore.ac.in
Yuvaraja College Mysore,,,
Mangalore University College,Chancellor Vice Chancellor Registrar,,https://www.mangaloreuniversity.ac.in
St. Aloysius College Mangalore,College Aloysian Culture Best,,https://www.staloysius.edu.in
Canara College,,,https://www.canaracollege.ac.in
Govt. First Grade College Tumkur,,,
Siddaganga Institute of Technology,For Placement Contact,placements@sit.ac.in,https://www.sit.ac.in
NMKRV College for Women,,,https://www.nmkrv.ac.in
Seshadripuram College,,,https://www.seshadripuram.edu.in
CMR Institute of Technology,,,https://www.cmrit.ac.in
Global Academy of Technology,Dr. Annepu Sreedhar Kumar Campus,admissions@gat.ac.in,https://www.gat.ac.in
Nitte University College,Mission Social Responsibility Green,info@nitte.edu.in,https://www.nitte.edu.in
East West College of Engineering,,,https://www.ewit.edu
Christ Academy Institute,,,https://www.christacademy.ac.in
Miranda House,From The Principal,principal@mirandahouse.ac.in,https://www.mirandahouse.ac.in
St. Stephen's College,Residence Public Information Officer,ssc@ststephens.edu,https://www.ststephens.edu
Lady Shri Ram College for Women,Select Language Bengali English,lsrc@lsr.edu.in,https://www.lsr.edu.in
Kirori Mal College,,erp@kmc.du.ac.in,https://www.kmc.ac.in
Hindu College,Follow Us Twitter Instagram,principal@hinducollege.org,https://www.hinducollege.ac.in
Hansraj College,Rama Vice Principal Prof,,https://www.hansrajcollege.ac.in
Ramjas College,,,https://www.ramjascollege.edu.in
Indraprastha College for Women,Prof. Poonam Kumria Principal,abhishek@ip.du.ac.in,https://ipcollege.ac.in
Gargi College,Shri Yogesh Singh,gargicollege@gargi.du.ac.in,https://gargicollege.in
Jesus and Mary College,,,https://jesusandmarycollege.ac.in
Dyal Singh College,Desk Governing Body Important,principal@dsc.du.ac.in,https://www.dsc.du.ac.in
Daulat Ram College,Charge Non Teaching Staff,daulatramcollege@dr.du.ac.in,https://www.dr.du.ac.in
Sri Venkateswara College,Smt. Durgabai Deshmukh Global Outreach,principal@svc.ac.in,https://www.svc.ac.in
Atma Ram Sanatan Dharma College,,,https://www.arsd.ac.in
Motilal Nehru College,,,https://www.mlncollege.ac.in
Shyam Lal College,,,https://www.shyamlal.du.ac.in
Janki Devi Memorial College,,,https://www.jdmcollege.ac.in
Maitreyi College,Desk Bio Note Of,,https://www.maitreyi.ac.in
Maharaja Agrasen College,Message College Committees Anti,principal@mac.du.ac.in,https://www.mac.du.ac.in
Acharya Narendra Dev College,Curricular Activities Sport Activities,,https://www.andc.ac.in
Shaheed Bhagat Singh College,,,https://www.sbsc.ac.in
Keshav Mahavidyalaya,,,https://www.keshav.du.ac.in
Sri Aurobindo College,Desk Former Principals Former,principal@aurobindo.du.ac.in,https://www.aurobindo.du.ac.in
Bhim Rao Ambedkar College,,,https://www.brac.ac.in
Kalindi College,,,https://www.kalindi.du.ac.in
Lakshmibai College,,,https://www.lakshmibai.ac.in
Delhi College of Arts and Commerce,Desk Right To Information,principaldcac@gmail.com,https://www.dcac.du.ac.in
Jamia Millia Islamia,Message Office Of The,fo@jmi.ac,https://www.jmi.ac.in
Jawaharlal Nehru University,Students Director Admissions Registrar,vc@mail.jnu,https://www.jnu.ac.in
Delhi Technological University,Pro Vice Chancellor Court,dtumitr@dtu.ac,https://www.dtu.ac.in
Indraprastha Institute of IT,Statute Governing Body General,dird@iiitd.ac.in,https://www.iiitd.ac.in
Amity University Delhi,,,https://www.amity.edu
Guru Gobind Singh Indraprastha Uni,,,https://www.ipu.ac.in
Lady Irwin College,Desk Past Directors College,director@lic.du.ac.in,https://www.ladyirwin.edu.in
College of Vocational Studies,,,https://www.cvs.du.ac.in
Zakir Husain Delhi College,,,https://www.zhdc.ac.in
Satyawati College,Minutes College Magazine Organisation,principal@satyawati.du.ac.in,https://www.satyawati.du.ac.in
Vivekananda College,,,https://www.vivekananddcollege.ac.in
Shivaji College Delhi,,,https://www.shivaji.du.ac.in
Loyola College,Golden Jubilee Celebrations From,,https://www.loyolacollege.edu
Presidency College,,,https://www.presidencychennai.ac.in
Stella Maris College,,,https://www.stellamariscollege.edu.in
PSG College of Arts and Science,,,https://www.psgcas.ac.in
Govt. Arts College,,,
Madras Christian College,International Programme International Programme,principal@mcc.edu.in,https://www.mcc.edu.in
Vellore Institute of Technology,,,https://www.vit.ac.in
Annamalai University Constituent Coll,Tamil Nadu India,au_regr@ymail.com,https://www.annamalaiuniversity.ac.in
Sri Ramakrishna College of Arts,Message Statutory Bodies Non,office@srcas.ac.in,https://www.srcas.ac.in
Womens Christian College,,,https://www.wcc.edu.in
IIT Madras,Rizwan Ali Superintending Engineer,,https://www.iitm.ac.in
Anna University,Anna University Managed Affiliated,k@48g9-.bybgnptut,https://www.annauniv.edu
University of Madras,,,https://www.unom.ac.in
Pachaiyappa's College,,,https://www.pachaiyappascollege.org
Government Arts College Chennai,,,https://www.gac.ac.in
Queen Mary's College,,,https://www.qmc.ac.in
Lady Doak College,Contact Foreign Contribution Awards,principal@ldc.edu.in,https://www.ladydoakcollege.edu.in
American College Madurai,Message Dr,acmdu1881@americancollege.edu.in,https://www.americancollege.edu.in
Madurai Kamaraj University College,,,https://www.mkuniversity.ac.in
Thiagarajar College,,,https://www.tcarts.ac.in
Sri Krishna College of Engineering,Press Events Accreditations,placement@skcet.ac.in,https://www.skcet.ac.in
Kumaraguru College of Technology,Manickam Vice Chairman Shri,,https://www.kct.ac.in
Kongu Engineering College,,,https://www.kongu.edu
Salem College,,,https://www.salemcollege.ac.in
Periyar University College,"Vice
                            Chancellor Members",,https://www.periyaruniversity.ac.in
Bishop Heber College,,,https://www.bishophebercollegetry.ac.in
National College Tiruchirappalli,,,https://www.nationalcollegetrichy.ac.in
Bharathidasan University College,,,https://www.bdu.ac.in
Jamal Mohamed College,Dr. Imtiwati Jamir Ex,jubileememorialcollege@gmail.com,https://www.jmc.edu.in
Holy Cross College,,,https://www.holycrosstry.edu.in
Sathyabama Institute of Science,Desk Evolution Accreditation,,https://www.sathyabama.ac.in
Saveetha Engineering College,Message Governing Council Members,admission@saveetha.ac.in,https://www.saveetha.ac.in
Sri Sairam Engineering College,Dr. Sai Prakash Leo Muthu,sairam@sairam.edu.in,https://www.sairam.edu.in
Vel Tech University,Incoming Exchange Students International,,https://www.veltech.edu.in
SSN College of Engineering,,,https://www.ssn.edu.in
Ethiraj College for Women,,,https://www.ethirajcollege.edu.in
Dr. Ambedkar Govt. Arts College,,,https://www.ambedkararts.ac.in
Govt. Arts College Nandanam,,,
Rajalakshmi Engineering College,New Avadi Road Kilpauk,admin@rajalakshmi.edu.in,https://www.rajalakshmi.org
Govt. Arts College Coimbatore,,,
